query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,10,CHAIN,4,0,14,0.0122,0.0000,None
IntLog,10,CHAIN,4,0,15,0.0078,0.0022,123
IntLog,10,CHAIN,4,0,16,0.0122,0.0011,124
IntLog,10,CHAIN,4,0,17,0.0156,0.0000,None
IntLog,10,CHAIN,4,0,18,0.0111,0.0000,None
IntLog,10,CHAIN,4,0,19,0.0078,0.0011,421
IntLog,10,CHAIN,5,0,0,0.0000,0.0000,None
IntLog,10,CHAIN,5,0,1,0.0000,0.0000,None
IntLog,10,CHAIN,5,0,2,0.0000,0.0000,None
IntLog,10,CHAIN,5,0,3,0.0022,0.0000,None
IntLog,10,CHAIN,5,0,4,0.0022,0.0000,None
IntLog,10,CHAIN,5,0,5,0.0011,0.0000,None
IntLog,10,CHAIN,5,0,6,0.0011,0.0000,None
IntLog,10,CHAIN,5,0,7,0.0033,0.0000,None
IntLog,10,CHAIN,5,0,8,0.0022,0.0000,None
IntLog,10,CHAIN,5,0,9,0.0000,0.0000,None
IntLog,10,CHAIN,5,0,10,0.0000,0.0000,None
IntLog,10,CHAIN,5,0,11,0.0011,0.0000,None
IntLog,10,CHAIN,5,0,12,0.0022,0.0000,None
IntLog,10,CHAIN,5,0,13,0.0000,0.0000,None
IntLog,10,CHAIN,5,0,14,0.0011,0.0000,None
IntLog,10,CHAIN,5,0,15,0.0011,0.0000,None
IntLog,10,CHAIN,5,0,16,0.0022,0.0000,None
IntLog,10,CHAIN,5,0,17,0.0033,0.0000,None
IntLog,10,CHAIN,5,0,18,0.0000,0.0000,None
IntLog,10,CHAIN,5,0,19,0.0000,0.0000,None
IntLog,100,CHAIN,3,0,0,0.3933,0.0933,7
IntLog,100,CHAIN,3,0,1,0.3400,0.0900,4
IntLog,100,CHAIN,3,0,2,0.3533,0.0611,42
IntLog,100,CHAIN,3,0,3,0.3456,0.1022,0
IntLog,100,CHAIN,3,0,4,0.3767,0.0844,15
IntLog,100,CHAIN,3,0,5,0.3844,0.0989,5
IntLog,100,CHAIN,3,0,6,0.3589,0.0978,7
IntLog,100,CHAIN,3,0,7,0.3867,0.0967,7
IntLog,100,CHAIN,3,0,8,0.3489,0.0833,21
IntLog,100,CHAIN,3,0,9,0.3544,0.0733,22
IntLog,100,CHAIN,3,0,10,0.3233,0.1100,4
IntLog,100,CHAIN,3,0,11,0.3778,0.0967,0
IntLog,100,CHAIN,3,0,12,0.3889,0.0611,11
IntLog,100,CHAIN,3,0,13,0.3611,0.0967,3
IntLog,100,CHAIN,3,0,14,0.3911,0.0722,19
IntLog,100,CHAIN,3,0,15,0.3956,0.0778,27
IntLog,100,CHAIN,3,0,16,0.3633,0.0611,3
IntLog,100,CHAIN,3,0,17,0.3400,0.0756,39
IntLog,100,CHAIN,3,0,18,0.3967,0.0611,2
IntLog,100,CHAIN,3,0,19,0.4222,0.0511,7
IntLog,100,CHAIN,4,0,0,0.0133,0.0022,669
IntLog,100,CHAIN,4,0,1,0.0133,0.0022,24
IntLog,100,CHAIN,4,0,2,0.0156,0.0033,48
IntLog,100,CHAIN,4,0,3,0.0133,0.0000,None
IntLog,100,CHAIN,4,0,4,0.0167,0.0022,689
IntLog,100,CHAIN,4,0,5,0.0144,0.0022,184
IntLog,100,CHAIN,4,0,6,0.0167,0.0011,763
