num_relations,annealing_time,query_graph,sample_index,first_opt_index
2,5,CLIQUE,4,0
2,5,CLIQUE,5,0
2,5,CLIQUE,6,0
2,5,CLIQUE,7,0
2,5,CLIQUE,8,0
2,5,CLIQUE,9,0
2,5,CLIQUE,10,0
2,5,CLIQUE,11,0
2,5,CLIQUE,12,0
2,5,CLIQUE,13,0
2,5,CLIQUE,14,0
2,5,CLIQUE,15,0
2,5,CLIQUE,16,0
2,5,CLIQUE,17,0
2,5,CLIQUE,18,0
2,5,CLIQUE,19,0
3,5,CLIQUE,0,10
3,5,CLIQUE,1,6
3,5,CLIQUE,2,29
3,5,CLIQUE,3,6
3,5,CLIQUE,4,3
3,5,CLIQUE,5,12
3,5,CLIQUE,6,3
3,5,CLIQUE,7,0
3,5,CLIQUE,8,4
3,5,CLIQUE,9,11
3,5,CLIQUE,10,49
3,5,CLIQUE,11,2
3,5,CLIQUE,12,28
3,5,CLIQUE,13,4
3,5,CLIQUE,14,5
3,5,CLIQUE,15,24
3,5,CLIQUE,16,23
3,5,CLIQUE,17,20
3,5,CLIQUE,18,4
3,5,CLIQUE,19,2
4,5,CLIQUE,0,79
4,5,CLIQUE,1,1436
4,5,CLIQUE,2,145
4,5,CLIQUE,3,959
4,5,CLIQUE,4,742
4,5,CLIQUE,5,32
4,5,CLIQUE,6,2129
4,5,CLIQUE,7,3771
4,5,CLIQUE,8,66
4,5,CLIQUE,9,576
4,5,CLIQUE,10,1121
4,5,CLIQUE,11,55
4,5,CLIQUE,12,869
4,5,CLIQUE,13,1402
4,5,CLIQUE,14,1397
4,5,CLIQUE,15,27
4,5,CLIQUE,16,587
4,5,CLIQUE,17,1830
4,5,CLIQUE,18,791
4,5,CLIQUE,19,533
2,7.5,CLIQUE,0,0
2,7.5,CLIQUE,1,0
2,7.5,CLIQUE,2,0
2,7.5,CLIQUE,3,0
2,7.5,CLIQUE,4,0
2,7.5,CLIQUE,5,0
2,7.5,CLIQUE,6,0
2,7.5,CLIQUE,7,0
2,7.5,CLIQUE,8,0
2,7.5,CLIQUE,9,0
2,7.5,CLIQUE,10,0
2,7.5,CLIQUE,11,0
2,7.5,CLIQUE,12,0
2,7.5,CLIQUE,13,0
2,7.5,CLIQUE,14,0
2,7.5,CLIQUE,15,0
2,7.5,CLIQUE,16,0
2,7.5,CLIQUE,17,0
2,7.5,CLIQUE,18,0
2,7.5,CLIQUE,19,0
3,7.5,CLIQUE,0,5
3,7.5,CLIQUE,1,3
3,7.5,CLIQUE,2,7
3,7.5,CLIQUE,3,3
3,7.5,CLIQUE,4,9
3,7.5,CLIQUE,5,1
3,7.5,CLIQUE,6,8
3,7.5,CLIQUE,7,6
3,7.5,CLIQUE,8,12
3,7.5,CLIQUE,9,20
3,7.5,CLIQUE,10,10
3,7.5,CLIQUE,11,16
3,7.5,CLIQUE,12,25
3,7.5,CLIQUE,13,2
3,7.5,CLIQUE,14,13
3,7.5,CLIQUE,15,5
3,7.5,CLIQUE,16,7
3,7.5,CLIQUE,17,4
3,7.5,CLIQUE,18,2
3,7.5,CLIQUE,19,0
4,7.5,CLIQUE,0,748
4,7.5,CLIQUE,1,197
4,7.5,CLIQUE,2,919
4,7.5,CLIQUE,3,1381
4,7.5,CLIQUE,4,144
4,7.5,CLIQUE,5,2236
4,7.5,CLIQUE,6,518
4,7.5,CLIQUE,7,1187
4,7.5,CLIQUE,8,1520
4,7.5,CLIQUE,9,401
4,7.5,CLIQUE,10,491
4,7.5,CLIQUE,11,2889
4,7.5,CLIQUE,12,25
4,7.5,CLIQUE,13,1608
4,7.5,CLIQUE,14,1052
4,7.5,CLIQUE,15,220
4,7.5,CLIQUE,16,266
4,7.5,CLIQUE,17,611
4,7.5,CLIQUE,18,173
4,7.5,CLIQUE,19,39
