vendor,optimizer,opt_level,query_graph_type,density,gateset,num_relations,sample_index,depth
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,8,1359
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,9,1501
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,10,1345
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,11,1455
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,12,964
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,13,1000
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,14,1393
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,15,1245
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,16,1006
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,17,1090
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,18,1004
IBMQ,Tket,1,CHAIN,0.0,Any_gates,6,19,1333
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,0,2005
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,1,2239
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,2,2011
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,3,2086
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,4,1967
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,5,1992
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,6,1750
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,7,1967
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,8,2233
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,9,1904
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,10,2302
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,11,2288
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,12,1994
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,13,2112
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,14,2005
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,15,1806
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,16,2006
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,17,1781
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,18,2159
IBMQ,Tket,1,CHAIN,0.0,Any_gates,7,19,2140
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,0,759
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,1,837
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,2,751
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,3,751
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,4,817
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,5,751
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,6,782
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,7,759
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,8,811
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,9,751
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,10,837
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,11,751
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,12,752
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,13,811
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,14,793
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,15,811
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,16,752
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,17,782
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,18,817
IBMQ,Tket,1,CHAIN,0.0,Native_gates,4,19,817
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,0,1446
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,1,1595
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,2,1767
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,3,1544
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,4,1215
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,5,1509
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,6,1369
IBMQ,Tket,1,CHAIN,0.0,Native_gates,5,7,1250
